LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_1,P10,0.272370,23.893330,-14.127670,-47.723460,-0.281610,-0.034230,0.888720,3.096410,1.604490,0.195030,0.921660,1.880480,2025/12/04 13:30:31
_3,P9,0.407690,23.700000,-14.127730,-47.723690,-0.514310,-0.060760,0.993030,1.364740,2.253100,0.266180,0.994470,1.312480,2025/12/04 13:35:30
_4,P8,0.309470,23.580000,-14.128230,-47.724420,-0.974380,-0.128190,0.995790,1.296650,2.507170,0.329840,0.995740,1.297880,2025/12/04 13:42:13
_7,P7,0.772070,24.025000,-14.128570,-47.724870,0.032460,0.003910,0.754720,4.833820,0.996400,0.120110,0.954580,2.011100,2025/12/04 13:48:58
_9,P6,0.338180,23.707780,-14.128700,-47.725040,1.840960,0.047630,0.995890,1.254160,13.058660,0.337850,0.998380,1.228440,2025/12/04 13:56:18
_11,P5,0.322440,24.255560,-14.128990,-47.725540,-1.200220,-0.156390,0.999560,1.197620,2.650780,0.345400,0.996730,1.255960,2025/12/04 14:02:44
_12,P4,0.237920,24.972220,-14.129450,-47.726250,-0.381260,-0.047320,0.877870,3.240520,2.348260,0.291430,0.980480,1.610700,2025/12/04 14:11:30
_14,P3,0.241570,24.400000,-14.129930,-47.726910,-0.205170,-0.024170,0.991530,1.402560,1.957970,0.230620,0.994300,1.323290,2025/12/04 14:22:59
_16,P2,0.273520,24.985560,-14.130740,-47.727520,0.600130,0.070360,0.975160,1.250540,1.882190,0.220660,0.982990,1.353110,2025/12/04 14:29:47
_19,P1,0.283700,25.470000,-14.131160,-47.728060,0.131320,0.015640,0.961440,1.627570,1.523380,0.181400,0.991390,1.406620,2025/12/04 14:39:28
