LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_74;P10;0.95;24.43889;-14.12766;-47.72345;-0.02942;-0.00356;0.18347;17.0965;0.79929;0.0967;0.95212;2.0948;01/02/2025 11:29
_78;P9;0.95;24.2;-14.12769;-47.72369;3.72009;0.44764;0.99971;1.18925;0.08835;0.01063;0.1744;13.75117;01/02/2025 11:40
_80;P8;0.95;24.62333;-14.12822;-47.72441;0.33834;0.04336;0.94592;1.98443;1.37569;0.17629;0.98918;1.45404;01/02/2025 11:52
_81;P7;0.95;25.47333;-14.12856;-47.72487;13.21456;1.60287;0.99958;1.18952;0.69584;0.0844;0.95682;1.9632;01/02/2025 11:59
_82;P5;0.95;25.35;-14.12899;-47.72554;0.55352;0.06735;0.98776;1.48624;0.74225;0.09032;0.94738;2.09371;01/02/2025 12:08
_83;P6;0.95;24.7;-14.12867;-47.72503;-0.09403;-0.01143;0.33104;5.43633;1.48967;0.18114;0.99077;1.36402;01/02/2025 12:21
_84;P4;0.50667;24.86111;-14.12946;-47.72625;0.1249;0.01465;0.42203;9.51488;3.40227;0.39911;0.99698;1.25306;30/01/2025 12:32
_86;P3;0.392;25.89667;-14.12992;-47.72692;0.0581;0.0068;0.29377;12.59082;1.1888;0.13913;0.97715;1.71207;01/02/2025 12:45
_88;P2;0.45012;26.46833;-14.13072;-47.72751;0.13171;0.01516;0.50335;5.35197;1.10384;0.12709;0.97992;1.65617;01/02/2025 12:53
_90;P1;0.444;26.4;-14.13116;-47.72805;0.11176;0.01282;0.25736;7.81083;1.22656;0.14074;0.98012;1.53123;01/02/2025 13:00
