LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_32;P10;0.36741;23.715;-14.12768;-47.72345;-0.81386;-0.10046;0.5155;7.40186;2.22266;0.27437;0.98083;1.71376;06/06/2025 10:28
_34;P9;0.483;23.3;-14.12772;-47.72365;0.55781;0.06656;0.03257;22.37887;3.0301;0.36157;0.0808;27.57425;06/06/2025 10:39
_35;P8;0.38447;24.4;-14.12824;-47.72441;-0.65151;-0.08486;0.99555;1.29382;3.87736;0.50503;0.99888;1.2063;06/06/2025 10:48
_37;P7;0.40111;25.44444;-14.12858;-47.72489;-0.30642;-0.03885;0.97038;1.83805;2.0513;0.2601;0.99635;1.27397;06/06/2025 10:56
_38;P6;0.41714;26.08222;-14.1287;-47.72506;-0.40403;-0.05065;0.84575;4.38898;3.94992;0.49521;0.99315;1.38309;06/06/2025 11:04
_40;P5;0.92827;27.67833;-14.129;-47.72553;0.28744;0.03701;0.83968;1.94303;2.48383;0.31983;0.99728;1.24561;06/06/2025 11:14
_43;P4;0.28283;28.25;-14.12949;-47.72625;-0.45088;-0.05673;0.98698;1.49865;3.7393;0.4705;0.99852;1.21691;06/06/2025 11:24
_46;P3;0.25985;28.09222;-14.12995;-47.72693;-0.46069;-0.05467;0.99064;1.41538;3.07266;0.36466;0.997;1.2569;06/06/2025 11:34
_47;P2;0.31296;27.8;-14.13075;-47.72754;-0.06311;-0.00781;0.58188;6.42593;2.76061;0.34154;0.99807;1.23025;06/06/2025 11:42
_48;P1;0.17;28.61;-14.13119;-47.72805;0.37559;0.04438;0.97933;1.40813;2.7012;0.31915;0.99757;1.24336;06/06/2025 11:50
