LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_224;P1;0;35.44667;-14.13119;-47.72804;-0.96173;-0.11209;0.99896;1.2063;1.06436;0.12405;0.98782;1.4344;10/09/2024 11:55
_225;P2;0;36.20389;-14.13074;-47.72753;-1.05499;-0.12406;0.99909;1.20328;1.05006;0.12348;0.99081;1.38986;10/09/2024 12:03
_226;P3;0;36.36667;-14.12993;-47.72691;-1.60428;-0.18826;0.99939;1.19348;1.09842;0.1289;0.99067;1.40225;10/09/2024 12:12
_227;P4;0;37.46333;-14.12948;-47.72625;-0.8573;-0.109;0.99885;1.20846;1.50641;0.19153;0.99513;1.28991;10/09/2024 12:24
_229;P5;0;43.54;-14.12901;-47.72552;-1.42947;-0.18172;0.99916;1.19967;2.03432;0.2586;0.99746;1.2381;10/09/2024 12:40
_230;P6;0.0865;42.04444;-14.12872;-47.72504;-2.92558;-0.35296;0.99968;1.18608;3.92124;0.47308;0.99912;1.19782;10/09/2024 12:47
_231;P7;0;42.36222;-14.12858;-47.72484;5.3088;0.66888;0.99978;1.18049;1.64321;0.20704;0.99598;1.27551;10/09/2024 12:54
_232;P8;0;44.94556;-14.12824;-47.72441;1.94781;0.25471;0.9996;1.18387;2.2164;0.28983;0.99811;1.21495;10/09/2024 13:01
_233;P9;0.07353;43.23667;-14.12771;-47.72365;-2.80448;-0.3406;0.9997;1.18508;3.06223;0.3719;0.99863;1.21081;10/09/2024 13:09
_234;P10;0.03767;42.33889;-14.12769;-47.72343;-1.52555;-0.20224;0.99975;1.18233;3.25133;0.43103;0.99905;1.19705;10/09/2024 13:16
