LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_101,P10,0.009590,26.768890,-14.127640,-47.723430,-2.932880,-0.348400,0.998560,1.216120,2.328370,0.276590,0.993190,1.353840,2025/09/01 10:05:36
_102,P9,0.209510,26.772220,-14.127700,-47.723690,-1.081010,-0.130260,0.998970,1.204450,2.525490,0.304330,0.991760,1.347890,2025/09/01 10:10:30
_103,P8,0.000000,28.820000,-14.128210,-47.724420,-2.268590,-0.290310,0.999530,1.189090,1.772180,0.226780,0.996770,1.253070,2025/09/01 10:18:01
_104,P7,0.050420,30.358330,-14.128580,-47.724870,-0.319910,-0.040830,0.927480,2.548350,0.301610,0.038490,0.873090,2.791420,2025/09/01 10:23:34
_105,P6,0.116500,30.250000,-14.128720,-47.725030,0.820020,0.096690,0.870900,1.290800,3.439010,0.405520,0.991050,1.361920,2025/09/01 10:29:29
_106,P5,0.221130,30.046670,-14.129000,-47.725560,-2.352760,-0.298630,0.999640,1.185800,1.670180,0.211990,0.997020,1.256310,2025/09/01 10:35:27
_107,P4,0.000000,30.648330,-14.129470,-47.726260,-0.766120,-0.095730,0.991160,1.246460,1.126330,0.140740,0.990010,1.432350,2025/09/01 10:45:21
_108,P3,0.000000,31.512780,-14.129960,-47.726920,-1.422940,-0.166220,0.999340,1.195190,0.967160,0.112980,0.988640,1.464740,2025/09/01 10:56:37
_109,P2,0.000000,33.196110,-14.130750,-47.727520,-1.066420,-0.125850,0.999160,1.200800,0.777350,0.091740,0.985250,1.541920,2025/09/01 11:03:20
_110,P1,0.000000,32.960000,-14.131170,-47.728060,-0.969410,-0.113370,0.999330,1.196240,0.864400,0.101090,0.983470,1.541080,2025/09/01 11:11:42
