;Plot;TIMESTAMP;HM81_AIC;HM81_flux.estimate;HM81_p.value;HM81_r.squared;HM81_RMSE;lin_AIC;lin_flux.estimate;lin_flux.std.error;lin_int.estimate;lin_int.std.error;lin_p.value;lin_r.squared;lin_RMSE;poly_AIC;poly_r.squared;poly_RMSE;rob_AIC;rob_converged;rob_flux.estimate;rob_flux.std.error;rob_RMSE;TIMESTAMP_min;TIMESTAMP_max
1;1;05/06/2025 11:09;462.4299009;0.078806091;1.83E-64;0.847962175;1.061740544;423.5972483;0.056772756;0.001681581;10631.08118;0.187298286;8.54E-73;0.881655946;0.936732955;410.8017514;0.893809139;0.893189051;423.6461571;TRUE;0.057014865;0.001689601;0.926839723;05/06/2025 11:07;05/06/2025 11:10
2;2;05/06/2025 11:16;NA;NA;NA;NA;NA;869.5190972;-0.205929862;0.007086505;10633.89352;0.7893107;3.62E-64;0.846609006;3.947571341;867.6094311;0.85234724;3.898594652;870.8297841;TRUE;-0.213455045;0.006204442;3.10689487;05/06/2025 11:15;05/06/2025 11:17
3;3;05/06/2025 11:23;NA;NA;NA;NA;NA;925.7940542;0.944981573;0.008497096;10671.6041;0.946425401;2.96E-148;0.987780701;4.733347453;894.1317202;0.990292129;4.246826142;926.9079892;TRUE;0.937743206;0.008148698;4.662889079;05/06/2025 11:22;05/06/2025 11:24
4;4;05/06/2025 11:30;NA;NA;NA;NA;NA;852.5743692;0.169542353;0.00670955;11332.86727;0.747324593;1.79E-56;0.806699285;3.737586665;849.8918159;0.814856011;3.682023795;856.9569735;TRUE;0.15777424;0.004579962;2.189730485;05/06/2025 11:29;05/06/2025 11:31
5;5;05/06/2025 11:40;NA;NA;NA;NA;NA;950.6445832;0.322859728;0.009206294;11420.25671;1.025417524;4.93E-75;0.889360273;5.128409928;952.5425443;0.89085059;5.127375486;950.9813764;TRUE;0.328072569;0.004915449;2.539627161;05/06/2025 11:39;05/06/2025 11:42
6;6;05/06/2025 11:50;NA;NA;NA;NA;NA;1430.355558;0.360307587;0.04326492;11527.4089;4.818943087;4.32E-14;0.311909759;24.10092962;1428.280548;0.338356836;23.7892227;1433.656406;TRUE;0.421111764;0.006006915;2.981066808;05/06/2025 11:48;05/06/2025 11:51
7;7;05/06/2025 11:57;1050.677219;0.723468346;9.16E-70;0.870365277;7.081470461;1062.007394;0.405130279;0.01318556;11158.88806;1.468636977;2.47E-67;0.860534317;7.345078741;1038.250093;0.883401173;6.760317732;1063.489491;TRUE;0.408017583;0.007996088;3.698126795;05/06/2025 11:55;05/06/2025 11:58
8;8;05/06/2025 12:05;NA;NA;NA;NA;NA;955.2678534;0.174107698;0.009344624;11454.01905;1.040824976;3.43E-41;0.694089398;5.205467057;957.3051977;0.697938507;5.206757626;955.8724655;TRUE;0.180383718;0.005367399;3.025819471;05/06/2025 12:04;05/06/2025 12:07
9;9;05/06/2025 12:12;NA;NA;NA;NA;NA;1027.162908;0.078725888;0.011783741;11376.13763;1.312499293;4.15E-10;0.225842894;6.564188977;1024.489656;0.258465573;6.466799921;1027.207412;TRUE;0.081124622;0.006871096;3.678494978;05/06/2025 12:11;05/06/2025 12:14
10;10;05/06/2025 12:19;NA;NA;NA;NA;NA;1115.389548;-0.097324678;0.015663337;11344.43086;1.744617335;4.68E-09;0.20149474;8.725336416;1118.431994;0.206412515;8.75584242;1115.466439;TRUE;-0.097332271;0.010747719;5.657750542;05/06/2025 12:18;05/06/2025 12:21
