;Plot;TIMESTAMP;HM81_AIC;HM81_flux.estimate;HM81_p.value;HM81_r.squared;HM81_RMSE;lin_AIC;lin_flux.estimate;lin_flux.std.error;lin_int.estimate;lin_int.std.error;lin_p.value;lin_r.squared;lin_RMSE;poly_AIC;poly_r.squared;poly_RMSE;rob_AIC;rob_converged;rob_flux.estimate;rob_flux.std.error;rob_RMSE;TIMESTAMP_min;TIMESTAMP_max
1;1;05/06/2025 11:09;NA;NA;NA;NA;NA;902.7612649;1.273643755;0.00788865;2701.560088;0.878655442;8.20E-173;0.994164753;4.394410263;902.0303333;0.994340166;4.356423014;902.7752648;TRUE;1.274188077;0.008200873;4.714706103;05/06/2025 11:07;05/06/2025 11:10
2;2;05/06/2025 11:16;1293.415285;1.528223296;1.40E-102;0.951692852;15.49484825;939.318923;1.561560064;0.008876018;2779.695476;0.988630608;1.73E-178;0.99508109;4.94442791;897.8354223;0.996332006;4.297869094;939.5803342;TRUE;1.561349588;0.008105496;4.367424686;05/06/2025 11:15;05/06/2025 11:17
3;3;05/06/2025 11:23;1251.59071;1.913355623;1.39E-109;0.960870337;13.53920582;997.1816839;1.514034215;0.010697468;2817.653406;1.191507783;4.03E-164;0.992419855;5.959075402;902.6003429;0.995987062;4.364440715;997.7096914;TRUE;1.521361942;0.01082622;5.766361027;05/06/2025 11:22;05/06/2025 11:24
4;4;05/06/2025 11:30;NA;NA;NA;NA;NA;933.357545;1.363302589;0.00870696;3025.394028;0.969800625;8.70E-171;0.993797909;4.850253716;925.3290546;0.994261009;4.696457385;933.3951909;TRUE;1.361643755;0.009486829;4.773791587;05/06/2025 11:29;05/06/2025 11:31
5;5;05/06/2025 11:40;1478.135214;1.529800931;1.28E-65;0.853161181;28.1171113;1412.949792;1.548744417;0.040902636;3137.83058;4.555826651;1.32E-79;0.903573177;22.78500814;1415.373874;0.904548602;22.81910711;1414.211479;TRUE;1.571201639;0.009100103;5.117315428;05/06/2025 11:39;05/06/2025 11:42
6;6;05/06/2025 11:50;NA;NA;NA;NA;NA;1512.26304;3.033797657;0.056348738;3115.225306;6.276247761;2.41E-101;0.949864182;31.38933223;1513.452954;0.950764935;31.311403;1515.543542;TRUE;3.023399505;0.013616535;7.392847695;05/06/2025 11:48;05/06/2025 11:51
7;7;05/06/2025 11:57;1528.452855;2.15579965;4.85E-65;0.850578351;33.07220851;1508.749879;1.770385395;0.055713755;3040.592591;6.205521961;2.87E-69;0.868414583;31.03561203;1499.516104;0.879183;29.93489223;1512.715419;TRUE;1.795770758;0.018129069;8.846750218;05/06/2025 11:55;05/06/2025 11:58
8;8;05/06/2025 12:05;1498.427749;1.756158998;4.64E-72;0.879012313;30.01922852;1454.519609;1.826942872;0.046772279;3159.22867;5.209600536;1.77E-81;0.908858754;26.05472063;1449.205127;0.914174427;25.45039568;1458.866213;TRUE;1.89330289;0.011949714;6.4884875;05/06/2025 12:04;05/06/2025 12:07
9;9;05/06/2025 12:12;1430.131109;0.832310121;2.53E-29;0.563332577;24.08348615;1430.011365;0.607580974;0.04321691;3069.589534;4.813595583;2.38E-29;0.563669791;24.0741852;1431.231799;0.571424623;24.01678144;1432.003909;TRUE;0.635887998;0.00878648;4.262260834;05/06/2025 12:11;05/06/2025 12:14
10;10;05/06/2025 12:19;1560.491801;1.058363611;1.55E-36;0.64823918;36.67314512;1530.118936;1.15759503;0.059689702;3197.558867;6.648371758;4.57E-43;0.710834992;33.25043208;1532.414271;0.713997758;33.28636605;1537.449518;TRUE;1.161625013;0.012454428;6.696315092;05/06/2025 12:18;05/06/2025 12:21
