LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_40,P9,0.396000,21.100000,-14.103890,-47.648250,-0.220000,-0.026070,0.984830,1.592940,2.984550,0.353600,0.999030,1.214260,2025/12/06 11:32:54
_41,P10,0.950000,20.955560,-14.103830,-47.648350,0.639720,0.074970,0.225380,17.100250,4.561560,0.534550,0.922790,1.719200,2025/12/06 11:37:47
_42,P8,0.498330,21.700000,-14.103980,-47.648130,-0.048440,-0.005590,0.116000,9.982850,1.320040,0.152460,0.989090,1.433310,2025/12/06 11:50:42
_45,P7,0.409000,22.600000,-14.104180,-47.647900,0.004550,0.000540,0.054430,33.716380,1.883580,0.225250,0.990190,1.389090,2025/12/06 12:00:56
_46,P6,0.461720,23.576670,-14.104590,-47.647700,0.055860,0.007170,0.613030,6.264660,0.927270,0.118980,0.976500,1.623290,2025/12/06 12:08:51
_47,P5,0.280660,23.500000,-14.104770,-47.647500,-0.204890,-0.025490,0.179630,18.568640,3.113520,0.387360,0.990150,1.295020,2025/12/06 12:14:20
_49,P4,0.377310,23.300000,-14.105350,-47.647900,-0.030630,-0.003610,0.672610,5.793950,2.355870,0.277800,0.998170,1.238100,2025/12/06 12:21:10
