LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_114;P9;0.71437;28.52;-14.10387;-47.64825;0.27742;0.03503;0.60096;4.2242;3.59195;0.45359;0.9976;1.25113;04/02/2025 11:40
_115;P8;0.5095;27.92667;-14.10398;-47.64809;0.10618;0.01335;0.68009;5.67039;4.45448;0.55999;0.99872;1.21581;04/02/2025 11:47
_117;P7;0.4899;28.9;-14.10418;-47.64791;1.92549;0.23793;0.97651;1.72633;2.7696;0.34223;0.99599;1.29271;04/02/2025 11:54
_119;P6;0.66736;28.70667;-14.10457;-47.64767;0.3504;0.0437;0.93057;2.27871;1.57259;0.19611;0.9929;1.36237;04/02/2025 12:04
_121;P5;0.45916;29.52667;-14.10474;-47.64751;0.25476;0.03205;0.71821;5.20132;1.47548;0.18564;0.98912;1.39258;04/02/2025 12:12
_122;P4;0.42925;29.575;-14.1053;-47.64787;1.46742;0.16884;0.94066;1.79547;2.76791;0.31847;0.99211;1.30303;04/02/2025 12:20
_124;P3;0.49825;31.075;-14.10608;-47.64637;0.66163;0.07995;0.94746;1.82627;2.38838;0.28861;0.9957;1.27185;04/02/2025 12:31
