LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
P10;P10;0.95;23.58667;-14.10425;-47.64833;0.5522;0.06749;0.83446;2.34007;6.15619;0.75242;0.99897;1.19669;04/06/2025 10:25
P9;P9;0.4285;21.46667;-14.10426;-47.64818;-0.08292;-0.00995;0.73001;5.05717;2.65101;0.31815;0.99449;1.31784;04/06/2025 10:32
P8;P8;0.4;22.07667;-14.10425;-47.64806;-0.25984;-0.03117;0.95245;2.15987;3.65994;0.43905;0.998;1.23608;04/06/2025 10:40
P7;P7;0.30591;23.38889;-14.10431;-47.64792;-0.51343;-0.06176;0.98942;1.449;3.08182;0.37074;0.99678;1.25655;04/06/2025 10:48
P6;P6;0.13468;24.74333;-14.10459;-47.64771;-0.90197;-0.12158;0.99304;1.36348;2.27957;0.30728;0.99646;1.25499;04/06/2025 10:56
_1;P5;0.01618;28.17556;-14.10476;-47.64751;-0.68787;-0.09264;0.81188;1.36636;1.82734;0.24609;0.88772;1.36488;04/06/2025 11:10
_3;P4;0.39561;28.33889;-14.10533;-47.6479;-0.05868;-0.00688;0.71131;5.28467;3.95604;0.46386;0.99879;1.21371;04/06/2025 11:17
_5;P3;0.10443;27.38;-14.10609;-47.64636;-0.51161;-0.0619;0.98694;1.50694;2.47695;0.29969;0.99393;1.26738;04/06/2025 11:27
