LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_49;P10;0.72833;24.85;-14.10383;-47.64836;-0.04148;-0.0049;0.65145;6.03115;6.86984;0.81101;0.99827;1.1953;26/11/2024 10:59
_50;P9;0.49342;23.3;-14.1039;-47.64825;0.05039;0.00588;0.67459;4.93128;3.12716;0.3648;0.99853;1.22292;26/11/2024 11:04
_51;P8;0.45497;23.64;-14.10402;-47.64809;-0.01484;-0.00181;0.34374;15.22602;3.11867;0.38001;0.99862;1.216;26/11/2024 11:11
_52;P7;0.45047;24.52;-14.1042;-47.6479;0.04413;0.00516;0.60539;5.548;1.89119;0.22122;0.99447;1.28988;26/11/2024 11:17
_53;P6;0.41356;24.95778;-14.10459;-47.6477;0.09698;0.01183;0.89117;2.95918;1.05799;0.12904;0.98995;1.40195;26/11/2024 11:23
_54;P5;0.30238;26.10889;-14.10475;-47.6475;0.15212;0.01857;0.94763;1.80104;1.37433;0.16774;0.99188;1.325;26/11/2024 11:29
_55;P4;0.36236;27.2;-14.1053;-47.64792;0.97658;0.11067;0.99853;1.21609;2.50116;0.28344;0.99804;1.23655;26/11/2024 11:36
_57;P3;0.49671;27.25667;-14.10606;-47.64636;0.22099;0.0263;0.85353;1.65043;3.10386;0.36941;0.99828;1.21693;26/11/2024 11:46
