LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_197;P10;0.27297;29.405;-14.10383;-47.64837;-2.16034;-0.25679;0.99802;1.23819;4.41115;0.52433;0.99779;1.22865;06/09/2024 10:02
_198;P9;0.1316;27.145;-14.1039;-47.64828;-1.30217;-0.15134;0.99862;1.22891;2.77011;0.32194;0.99793;1.23025;06/09/2024 10:10
_201;P8;0.02836;29.95833;-14.104;-47.64811;-1.83992;-0.22124;0.99948;1.19813;1.2224;0.14699;0.99242;1.37483;06/09/2024 10:21
_204;P7;0;33.70833;-14.1042;-47.64791;-0.70869;-0.0857;0.99247;1.37716;0.31479;0.03807;0.90766;2.83726;06/09/2024 10:34
_205;P6;0;35.43333;-14.10462;-47.64771;-0.5288;-0.06989;0.99707;1.26264;1.20995;0.15991;0.99113;1.34651;06/09/2024 10:42
_208;P5;0;35.7;-14.10477;-47.64753;-0.75987;-0.10028;0.99528;1.27287;1.05946;0.13982;0.98302;1.40995;06/09/2024 10:58
_209;P4;0.01125;35.7;-14.10533;-47.64791;-0.50686;-0.06118;0.99596;1.29095;1.28819;0.15549;0.99257;1.33774;06/09/2024 11:05
_210;P3;0;35.56667;-14.10608;-47.64637;-1.32645;-0.16678;0.99905;1.21203;1.81784;0.22857;0.99515;1.26907;06/09/2024 11:15
