LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_139,P10,0.307500,31.233330,-14.103850,-47.648360,-1.228210,-0.152350,0.998840,1.213260,2.934600,0.364010,0.998350,1.223120,2025/09/04 10:51:20
_140,P9,0.280290,29.791110,-14.103870,-47.648260,-1.248420,-0.148440,0.990550,1.422530,4.016500,0.477580,0.985430,1.467180,2025/09/04 10:55:56
_141,P8,0.093460,28.852780,-14.103990,-47.648110,-1.673260,-0.202830,0.987060,1.500760,1.510960,0.183160,0.901310,2.269800,2025/09/04 11:00:58
_142,P7,0.000000,30.358330,-14.104180,-47.647890,-1.186160,-0.141140,0.996420,1.277120,0.637280,0.075830,0.960220,2.025880,2025/09/04 11:09:25
_143,P6,0.000000,31.058330,-14.104590,-47.647670,-0.747220,-0.094070,0.988560,1.467770,0.667010,0.083970,0.969680,1.542030,2025/09/04 11:16:35
_146,P4,0.035070,32.200000,-14.105310,-47.647890,-1.321440,-0.157900,0.999460,1.197170,1.135890,0.135730,0.994480,1.304560,2025/09/04 11:33:38
_147,P5,0.071170,33.588890,-14.104770,-47.647470,-0.248580,-0.032430,0.893250,3.042970,1.036310,0.135210,0.920690,2.657970,2025/09/04 11:43:44
_148,P3,0.000000,30.001670,-14.106050,-47.646310,-0.762400,-0.089460,0.988710,1.448310,0.808190,0.094840,0.785560,2.787280,2025/09/04 11:52:49
