LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_50,P10,0.950000,25.038890,-14.272790,-47.742310,0.048990,0.006020,0.761050,3.514510,1.774950,0.218030,0.989220,1.431690,2025/12/07 11:13:18
_51,P9,0.950000,25.100000,-14.272970,-47.742360,0.118390,0.014180,0.925340,1.876280,3.619330,0.433550,0.993730,1.295110,2025/12/07 11:20:39
_52,P8,0.950000,26.200000,-14.273210,-47.742410,0.032110,0.003760,0.206520,10.736670,2.229010,0.261200,0.992570,1.348180,2025/12/07 11:27:45
_53,P7,0.263890,26.388890,-14.273390,-47.742360,-0.211450,-0.028130,0.989840,1.416590,2.166140,0.288200,0.976510,1.594850,2025/12/07 11:32:33
_55,P6,0.140000,26.552780,-14.273580,-47.742410,0.122400,0.016300,0.936200,1.692500,2.244770,0.298860,0.993380,1.333350,2025/12/07 11:37:42
_57,P5,0.028080,27.135000,-14.273810,-47.742450,-0.195980,-0.027270,0.973810,1.759360,0.194470,0.027060,0.559180,8.824720,2025/12/07 11:42:44
_58,P4,0.036000,27.755560,-14.274030,-47.742440,-0.895770,-0.116320,0.998800,1.190750,1.463500,0.190040,0.945710,1.979190,2025/12/07 11:47:43
_59,P3,0.041520,28.188330,-14.274230,-47.742440,-0.711040,-0.094350,0.999300,1.176220,0.947230,0.125690,0.956290,2.514100,2025/12/07 11:52:15
