LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_126;P10;0.95;29.03;-14.27277;-47.7423;6.02591;0.74485;0.99881;1.18888;2.51452;0.31081;0.9918;1.29504;05/02/2025 11:27
_127;P9;0.95;28;-14.27293;-47.74238;1.64776;0.19852;0.99502;1.28985;2.36191;0.28456;0.99528;1.26168;05/02/2025 11:35
_128;P8;0.95;27.475;-14.27315;-47.74239;7.58842;0.93733;0.99828;1.18726;1.25378;0.15487;0.95143;1.48821;05/02/2025 11:42
_130;P7;0.44;28;-14.27336;-47.74236;0.16145;0.02081;0.16586;4.47037;2.79259;0.35997;0.97935;1.55908;05/02/2025 11:53
_131;P6;0.47223;28;-14.27352;-47.74241;0.18562;0.02327;0.65632;5.38646;1.80467;0.22619;0.9905;1.30119;05/02/2025 12:02
_133;P5;0.354;28.71167;-14.27375;-47.74241;1.11548;0.14236;0.96827;1.68509;1.15116;0.14691;0.95555;1.90505;05/02/2025 12:11
_134;P4;0.30167;28.3;-14.27398;-47.74242;1.12079;0.14692;0.96066;1.31181;1.6598;0.21757;0.9897;1.33391;05/02/2025 12:17
_135;P3;0.24667;28.3;-14.2742;-47.74242;0.22449;0.02888;0.15974;5.77224;0.4997;0.06429;0.94215;2.31394;05/02/2025 12:22
