LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_53;P10;0.95;28.67;-14.27278;-47.7423;1.27932;0.16127;0.99942;1.1684;1.34364;0.16938;0.99202;1.36231;07/06/2025 11:08
_54;P9;0.95;26.80889;-14.27296;-47.74238;2.99344;0.36677;0.99893;1.18312;1.0381;0.12719;0.98454;1.53475;07/06/2025 11:15
_56;P8;0.91833;24.7;-14.27318;-47.74239;1.30942;0.1653;0.99937;1.16812;0.29049;0.03667;0.8114;3.02212;07/06/2025 11:22
_58;P7;0.35325;24.4;-14.27338;-47.74236;0.18426;0.02481;0.44948;1.65127;1.97883;0.26644;0.99788;1.21117;07/06/2025 11:30
_59;P6;0.25553;25.77167;-14.27356;-47.74239;-0.00076;-0.0001;0.0007;304.87037;2.30475;0.3064;0.99837;1.19895;07/06/2025 11:36
_60;P5;0.28281;28.18889;-14.2738;-47.74243;0.17622;0.02368;0.97238;1.6593;2.33782;0.3141;0.99779;1.21315;07/06/2025 11:44
_62;P4;0.15504;28.75333;-14.27403;-47.74244;-0.35391;-0.04673;0.99426;1.30783;1.66991;0.22052;0.99653;1.24047;07/06/2025 11:52
_63;P3;0.08862;30.05333;-14.27423;-47.7424;-0.2945;-0.03861;0.99284;1.34317;1.24732;0.16355;0.99425;1.30455;07/06/2025 11:58
