LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_124,P10,0.684670,26.961670,-14.272790,-47.742330,-0.707020,-0.088430,0.994950,1.288070,3.300080,0.412750,0.998040,1.202750,2025/09/03 10:25:30
_126,P9,0.657000,27.806670,-14.272960,-47.742380,-0.532050,-0.067130,0.994900,1.288360,3.228050,0.407310,0.992980,1.336950,2025/09/03 10:33:42
_128,P8,0.950000,26.612220,-14.273160,-47.742430,-0.290630,-0.035840,0.993350,1.328650,2.827960,0.348720,0.995250,1.280490,2025/09/03 10:39:21
_130,P7,0.238300,26.308890,-14.273390,-47.742400,-0.410600,-0.054510,0.997330,1.225690,1.739390,0.230920,0.994010,1.311830,2025/09/03 10:45:29
_132,P6,0.109230,27.563330,-14.273550,-47.742430,-0.419660,-0.055410,0.993610,1.349150,2.011720,0.265640,0.994470,1.299580,2025/09/03 10:54:26
_134,P5,0.000000,29.270000,-14.273770,-47.742440,-1.192690,-0.158210,0.919320,1.225400,0.454470,0.060290,0.893410,1.730370,2025/09/03 10:59:24
_135,P4,0.000000,31.560560,-14.273980,-47.742450,-1.252060,-0.165970,0.999800,1.158720,0.556410,0.073760,0.987100,1.447400,2025/09/03 11:05:24
_137,P3,0.000000,32.367780,-14.274210,-47.742450,-1.056420,-0.137330,0.991300,1.379140,0.349460,0.045430,0.840910,3.471330,2025/09/03 11:13:19
