area;ponto;long;lat;coleta;data;month
7q;P1;-47.72804;-14.13119;1;10/09/2024;set24
7q;P1;-47.72804;-14.13119;2;22/11/2024;nov24
7q;P1;-47.72804;-14.13119;3;01/02/2025;fev25
7q;P1;-47.72804;-14.13119;4;06/06/2025;jun25
7q;P1;-47.72804;-14.13119;5;01/09/2025;set25
7q;P1;-47.72804;-14.13119;6;04/12/2025;dez25
7q;P2;-47.72753;-14.13074;1;10/09/2024;set24
7q;P2;-47.72753;-14.13074;2;22/11/2024;nov24
7q;P2;-47.72753;-14.13074;3;01/02/2025;fev25
7q;P2;-47.72753;-14.13074;4;06/06/2025;jun25
7q;P2;-47.72753;-14.13074;5;01/09/2025;set25
7q;P2;-47.72753;-14.13074;6;04/12/2025;dez25
7q;P3;-47.72691;-14.12993;1;10/09/2024;set24
7q;P3;-47.72691;-14.12993;2;22/11/2024;nov24
7q;P3;-47.72691;-14.12993;3;01/02/2025;fev25
7q;P3;-47.72691;-14.12993;4;06/06/2025;jun25
7q;P3;-47.72691;-14.12993;5;01/09/2025;set25
7q;P3;-47.72691;-14.12993;6;04/12/2025;dez25
7q;P4;-47.72625;-14.12948;1;10/09/2024;set24
7q;P4;-47.72625;-14.12948;2;22/11/2024;nov24
7q;P4;-47.72625;-14.12948;3;01/02/2025;fev25
7q;P4;-47.72625;-14.12948;4;06/06/2025;jun25
7q;P4;-47.72625;-14.12948;5;01/09/2025;set25
7q;P4;-47.72625;-14.12948;6;04/12/2025;dez25
7q;P5;-47.72552;-14.12901;1;10/09/2024;set24
7q;P5;-47.72552;-14.12901;2;22/11/2024;nov24
7q;P5;-47.72552;-14.12901;3;01/02/2025;fev25
7q;P5;-47.72552;-14.12901;4;06/06/2025;jun25
7q;P5;-47.72552;-14.12901;5;01/09/2025;set25
7q;P5;-47.72552;-14.12901;6;04/12/2025;dez25
7q;P6;-47.72504;-14.12872;1;10/09/2024;set24
7q;P6;-47.72504;-14.12872;2;22/11/2024;nov24
7q;P6;-47.72504;-14.12872;3;01/02/2025;fev25
7q;P6;-47.72504;-14.12872;4;06/06/2025;jun25
7q;P6;-47.72504;-14.12872;5;01/09/2025;set25
7q;P6;-47.72504;-14.12872;6;04/12/2025;dez25
7q;P7;-47.72484;-14.12856;1;10/09/2024;set24
7q;P7;-47.72484;-14.12856;2;22/11/2024;nov24
7q;P7;-47.72484;-14.12856;3;01/02/2025;fev25
7q;P7;-47.72484;-14.12856;4;06/06/2025;jun25
7q;P7;-47.72484;-14.12856;5;01/09/2025;set25
7q;P7;-47.72484;-14.12856;6;04/12/2025;dez25
7q;P8;-47.72441;-14.12824;1;10/09/2024;set24
7q;P8;-47.72441;-14.12824;2;22/11/2024;nov24
7q;P8;-47.72441;-14.12824;3;01/02/2025;fev25
7q;P8;-47.72441;-14.12824;4;06/06/2025;jun25
7q;P8;-47.72441;-14.12824;5;01/09/2025;set25
7q;P8;-47.72441;-14.12824;6;04/12/2025;dez25
7q;P9;-47.72365;-14.12771;1;10/09/2024;set24
7q;P9;-47.72365;-14.12771;2;22/11/2024;nov24
7q;P9;-47.72365;-14.12771;3;01/02/2025;fev25
7q;P9;-47.72365;-14.12771;4;06/06/2025;jun25
7q;P9;-47.72365;-14.12771;5;01/09/2025;set25
7q;P9;-47.72365;-14.12771;6;04/12/2025;dez25
7q;P10;-47.72343;-14.12769;1;10/09/2024;set24
7q;P10;-47.72343;-14.12769;2;22/11/2024;nov24
7q;P10;-47.72343;-14.12769;3;01/02/2025;fev25
7q;P10;-47.72343;-14.12769;4;06/06/2025;jun25
7q;P10;-47.72343;-14.12769;5;01/09/2025;set25
7q;P10;-47.72343;-14.12769;6;04/12/2025;dez25
bbt;P10;-47.64837;-14.10383;1;06/09/2024;set24
bbt;P10;-47.64837;-14.10383;2;26/11/2024;nov24
