LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_20,P10,0.603260,24.261110,-14.134790,-47.764570,-0.516200,-0.069260,0.993990,1.328830,2.596740,0.348430,0.988870,1.327700,2025/12/05 11:22:20
_21,P9,0.354330,24.621670,-14.134910,-47.764710,-0.504770,-0.066030,0.997320,1.262140,4.399780,0.575540,0.999360,1.188610,2025/12/05 11:27:35
_24,P8,0.297170,24.951670,-14.135180,-47.764790,-0.176670,-0.022870,0.985240,1.539490,1.482180,0.191900,0.977940,1.531380,2025/12/05 11:33:01
_26,P7,0.297890,25.230560,-14.135560,-47.764990,-0.480290,-0.061740,0.994370,1.319420,1.957630,0.251660,0.989050,1.368850,2025/12/05 11:38:57
_27,P6,0.329660,25.900000,-14.135890,-47.765090,0.050660,0.005880,0.784300,4.398480,3.466300,0.402240,0.997320,1.230690,2025/12/05 11:45:51
_29,P5,0.335760,26.081670,-14.136320,-47.765190,-0.339550,-0.039530,0.995660,1.287140,3.464100,0.403290,0.994770,1.280410,2025/12/05 11:55:11
_30,P4,0.263310,26.118330,-14.136810,-47.765290,-0.291690,-0.037540,0.972090,1.802840,3.469440,0.446470,0.951930,1.785470,2025/12/05 12:02:34
_31,P3,0.316020,26.200000,-14.137240,-47.765440,0.041890,0.005440,0.699750,5.439300,1.954610,0.254050,0.974230,1.605500,2025/12/05 12:08:38
_32,P2,0.301400,26.200000,-14.137690,-47.765600,-0.165090,-0.020920,0.971530,1.814080,2.976060,0.377160,0.986630,1.443510,2025/12/05 12:15:28
_34,P1,0.330870,26.700000,-14.137950,-47.765600,-0.010450,-0.001260,0.129640,20.980410,4.386560,0.527850,0.987820,1.351020,2025/12/05 12:24:53
