LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_136;P10;0.95;26.73333;-14.13483;-47.76449;4.74695;0.60412;0.99986;1.16996;1.12304;0.14292;0.98502;1.43214;06/02/2025 11:46
_138;P9;0.55567;26.80444;-14.13489;-47.76467;0.07815;0.00961;0.07282;7.1939;6.63664;0.81623;0.99819;1.21046;06/02/2025 11:56
_139;P8;0.48257;28.775;-14.13516;-47.76479;0.43417;0.05516;0.4551;6.48785;5.02407;0.63827;0.99861;1.18752;06/02/2025 12:02
_141;P7;0.69369;30.05333;-14.13554;-47.765;1.98304;0.24156;0.99589;1.24704;2.5434;0.30981;0.99528;1.2644;06/02/2025 12:09
_142;P6;0.38302;31.60667;-14.13584;-47.7651;1.07517;0.12604;0.96403;1.45919;3.59451;0.42139;0.98599;1.51301;06/02/2025 12:16
_144;P5;0.449;31.7;-14.13631;-47.7652;0.26307;0.02974;0.91746;1.6427;3.25522;0.36796;0.99763;1.23103;06/02/2025 12:25
_146;P4;0.4;31.83333;-14.13676;-47.76523;-0.04488;-0.00559;0.24545;14.22284;5.87534;0.73121;0.99918;1.18934;06/02/2025 12:34
_147;P3;0.324;32.28667;-14.1372;-47.76546;0.37007;0.04341;0.93627;1.8988;7.18727;0.84318;0.99931;1.18689;06/02/2025 12:40
_148;P2;0.236;32.1;-14.13766;-47.76562;0.51262;0.06013;0.92369;2.29516;4.86289;0.5704;0.99899;1.19324;06/02/2025 12:47
_149;P1;0.33797;31.47;-14.13794;-47.76562;1.76664;0.20653;0.99575;1.2691;7.31036;0.85463;0.99784;1.22887;06/02/2025 12:53
