LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_67;P10;0.92394;25.28556;-14.13483;-47.76456;-0.275;-0.03696;0.94358;2.3008;1.60209;0.21531;0.99435;1.30216;08/06/2025 10:21
_69;P9;0.367;26.05667;-14.13489;-47.76467;-1.19004;-0.15412;0.99919;1.18828;4.65964;0.60347;0.99927;1.18323;08/06/2025 10:28
_70;P8;0.31253;27.5;-14.13515;-47.76479;-0.68623;-0.08923;0.99628;1.2657;2.6854;0.34918;0.99813;1.21627;08/06/2025 10:36
_72;P7;0.373;28.16889;-14.13557;-47.76498;-1.1515;-0.14696;0.99912;1.18983;2.88368;0.36804;0.99824;1.20743;08/06/2025 10:49
_74;P6;0.324;29.2;-14.1359;-47.76511;-0.27167;-0.03164;0.98038;1.633;3.51318;0.40914;0.9988;1.1983;08/06/2025 10:55
_76;P5;0.35336;29.79167;-14.13635;-47.76524;-0.06103;-0.00704;0.69839;5.99238;3.82762;0.44128;0.99835;1.20336;08/06/2025 11:01
_78;P4;0.30037;29.90333;-14.1368;-47.76528;-0.59008;-0.07516;0.99671;1.25593;2.4653;0.31401;0.99804;1.22058;08/06/2025 11:10
_79;P3;0.15589;30.55167;-14.13722;-47.76543;-0.37683;-0.04475;0.98986;1.4253;2.44555;0.29042;0.99723;1.2363;08/06/2025 11:16
_81;P2;0.24487;30.80333;-14.13768;-47.76557;-0.46089;-0.05442;0.99305;1.34907;3.46444;0.40905;0.9986;1.2022;08/06/2025 11:22
_83;P1;0.28282;31.1;-14.13794;-47.7656;-0.20232;-0.02366;0.95916;2.2094;3.87512;0.45316;0.99895;1.19392;08/06/2025 11:27
