LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];
_211;P10;0.40086;29.79278;-14.13476;-47.76458;-1.45454;-0.19562;0.99825;1.22071;4.0643;0.5466;0.99772;1.20965;10/09/2024 10:05
_212;P9;0.04;29.05;-14.1349;-47.7647;-2.23522;-0.27591;0.99891;1.19319;3.54243;0.43726;0.99736;1.20041;10/09/2024 10:14
_213;P8;0;29.965;-14.13518;-47.76481;-1.25344;-0.16884;0.99944;1.17773;1.37807;0.18563;0.99462;1.2541;10/09/2024 10:20
_214;P7;0;32.04889;-14.13558;-47.76501;3.53614;0.47349;0.99983;1.16716;1.34199;0.17969;0.99254;1.30574;10/09/2024 10:26
_216;P6;0;34.30389;-14.1359;-47.76511;-0.55729;-0.06608;0.99816;1.21356;1.32073;0.15661;0.99097;1.33291;10/09/2024 10:34
_218;P5;0;35.16667;-14.13636;-47.76521;-0.97563;-0.11689;0.99902;1.18933;1.43817;0.17231;0.9948;1.2815;10/09/2024 10:40
_219;P4;0;35.74889;-14.13679;-47.7653;1.43023;0.1715;0.99658;1.25497;1.64033;0.1967;0.9949;1.27102;10/09/2024 10:47
_220;P3;0;36.51333;-14.13724;-47.76542;-0.51455;-0.06159;0.99764;1.22888;0.95958;0.11486;0.9896;1.38897;10/09/2024 10:52
_221;P2;0;37.30667;-14.13768;-47.76558;0.03583;0.00436;0.43535;11.93051;0.83794;0.10197;0.9818;1.5293;10/09/2024 10:59
_222;P1;0;37.78222;-14.13796;-47.76559;-0.64133;-0.07433;0.99827;1.2128;1.33068;0.15423;0.99284;1.32649;10/09/2024 11:05
