LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_88,P10,0.521920,28.091670,-14.134760,-47.764590,-0.879630,-0.120980,0.998910,1.194310,3.218880,0.442710,0.993960,1.315070,2025/08/31 10:52:32
_89,P9,0.037080,30.866670,-14.134890,-47.764710,-1.949570,-0.251800,0.982920,1.541240,4.698260,0.606820,0.993990,1.216510,2025/08/31 11:01:43
_90,P8,0.000000,34.597780,-14.135140,-47.764820,-1.517850,-0.196250,0.999620,1.173890,1.136760,0.146980,0.966940,1.657870,2025/08/31 11:09:14
_91,P7,0.000000,37.178890,-14.135560,-47.765010,-1.825760,-0.235790,0.999600,1.175020,1.248250,0.161210,0.994600,1.297010,2025/08/31 11:16:02
_92,P6,0.000000,37.879440,-14.135890,-47.765100,0.487560,0.060540,0.995120,1.274170,1.023650,0.127110,0.992930,1.342110,2025/08/31 11:22:39
_93,P5,0.000000,37.186110,-14.136320,-47.765230,-0.738740,-0.086100,0.991320,1.370030,1.268610,0.147860,0.989880,1.329010,2025/08/31 11:31:12
_95,P4,0.000000,36.532780,-14.136800,-47.765270,-1.149560,-0.144170,0.999240,1.185370,1.104200,0.138480,0.979920,1.641460,2025/08/31 11:39:51
_96,P3,0.000000,38.230000,-14.137250,-47.765440,-0.400310,-0.048290,0.995830,1.278980,0.920310,0.111020,0.965720,1.929400,2025/08/31 11:45:27
_97,P2,0.000000,37.288890,-14.137670,-47.765610,-0.664030,-0.079480,0.998060,1.219280,0.853510,0.102160,0.979830,1.649700,2025/08/31 11:52:19
_100,P1,0.000000,38.494440,-14.137950,-47.765590,-0.584760,-0.069230,0.998400,1.210330,1.148590,0.135980,0.993480,1.339070,2025/08/31 12:04:23
