LI-8200,LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-8200
LABEL,COMMENT,SWC_2 mean,TS_2 mean,LATITUDE,LONGITUDE,FCH4_DRY,FCH4_DRY dCdt,FCH4_DRY R2,FCH4_DRY CV,FCO2_DRY,FCO2_DRY dCdt,FCO2_DRY R2,FCO2_DRY CV,DATE_TIME initial_value
[#],[#],[m+3m-3],[C],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1mol-1s-1],[#],[#],[umol+1m-2s-1],[umol+1mol-1s-1],[#],[#],[YYYY-MM-DD HH:MM:SS]
_61,P1,0.381000,27.663890,-14.182140,-47.569250,0.394890,0.050820,0.989790,1.290980,0.933860,0.120190,0.976020,1.829070,2025/12/10 11:04:06
_63,P2,0.421580,26.486670,-14.181930,-47.569800,0.013730,0.001920,0.392900,10.118960,1.316340,0.183670,0.982910,1.338990,2025/12/10 11:10:37
_66,P3,0.520030,24.821110,-14.181810,-47.570110,0.153250,0.021300,0.240780,5.716130,0.767590,0.106670,0.782130,2.425450,2025/12/10 11:23:40
_68,P4,0.447130,24.400000,-14.181690,-47.570480,0.158730,0.020430,0.983530,1.492580,0.833210,0.107220,0.966530,1.710290,2025/12/10 11:31:05
_70,P5,0.499080,24.333330,-14.181600,-47.570760,0.046880,0.006120,0.640430,3.503930,1.584890,0.206990,0.994180,1.335620,2025/12/10 11:36:44
_71,P6,0.934170,24.695000,-14.181510,-47.571130,0.184460,0.022550,0.948920,2.026130,1.650460,0.201740,0.985200,1.452450,2025/12/10 11:43:26
_72,P7,0.950000,24.711110,-14.181470,-47.571390,6.109340,0.785870,0.989460,1.301160,3.118750,0.401180,0.988640,1.376250,2025/12/10 11:49:49
_74,P8,0.526730,25.450000,-14.181990,-47.571270,0.083890,0.010320,0.936980,2.407060,2.060710,0.253600,0.992540,1.320680,2025/12/10 11:59:35
_76,P9,0.624520,25.600000,-14.182170,-47.571450,0.145730,0.019430,0.954150,1.665450,0.491960,0.065580,0.893360,3.297500,2025/12/10 12:06:16
_77,P10,0.950000,24.895000,-14.182620,-47.571600,0.073810,0.009880,0.226390,3.694800,0.378550,0.050670,0.897420,2.484930,2025/12/10 12:11:57
