LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;datetime
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_91;P1;0.358;27.7;-14.18212;-47.56927;0.72873;0.08749;0.99727;1.25426;1.98485;0.23831;0.99523;1.31082;03/02/2025 12:04
_93;P2;0.489;27.07;-14.18191;-47.5698;7.08155;0.9846;0.99814;1.23538;1.5652;0.21762;0.99382;1.31777;03/02/2025 12:12
_97;P3;0.71233;27.5;-14.18179;-47.5701;0.18404;0.02588;0.51936;7.86703;0.46187;0.06494;0.89596;2.53041;03/02/2025 12:27
_98;P4;0.85038;26.45556;-14.18168;-47.57048;5.682;0.68078;0.99402;1.26049;0.42733;0.0512;0.70419;3.30576;03/02/2025 12:34
_100;P5;0.95;25.09722;-14.18158;-47.57076;0.47342;0.06339;0.97952;1.58561;2.69209;0.36045;0.99702;1.2633;03/02/2025 12:45
_104;P6;0.95;25.59556;-14.1815;-47.57112;2.10366;0.25209;0.99212;1.28465;1.77116;0.21224;0.98523;1.44517;03/02/2025 12:58
_107;P7;0.95;25.47111;-14.18148;-47.57137;11.85066;1.57649;0.99656;1.20619;3.31614;0.44114;0.99801;1.23785;03/02/2025 13:12
_108;P8;0.95;24.77944;-14.18197;-47.57128;2.17756;0.25231;0.99403;1.34015;1.85008;0.21437;0.98715;1.4868;03/02/2025 13:21
_109;P9;0.76133;24.95556;-14.18219;-47.57148;6.0332;0.78174;0.99987;1.18738;0.16394;0.02124;0.64706;6.08722;03/02/2025 13:29
_112;P10;0.87677;22.73;-14.18263;-47.5716;-0.06446;-0.00841;0.44838;8.78712;0.98472;0.12843;0.97383;1.61111;01/02/2025 13:40
