LI-8200;LI-8200;CHAMBER;CHAMBER;CHAMBER;CHAMBER;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-7810;LI-8200
LABEL;COMMENT;SWC_2 mean;TS_2 mean;LATITUDE;LONGITUDE;FCH4_DRY;FCH4_DRY dCdt;FCH4_DRY R2;FCH4_DRY CV;FCO2_DRY;FCO2_DRY dCdt;FCO2_DRY R2;FCO2_DRY CV;DATE_TIME initial_value
[#];[#];[m+3m-3];[C];[degrees];[degrees];[nmol+1m-2s-1];[nmol+1mol-1s-1];[#];[#];[umol+1m-2s-1];[umol+1mol-1s-1];[#];[#];[YYYY-MM-DD HH:MM:SS]
_111;P1;0;28.695;-14.18211;-47.56926;0.3788;0.0496;0.99182;1.38819;0.72067;0.09436;0.97766;1.698;02/09/2025 10:20
_113;P2;0.27268;29.03667;-14.18191;-47.56983;-0.97139;-0.13824;0.99905;1.20432;1.47907;0.21048;0.99422;1.32968;02/09/2025 10:28
_114;P3;0;29.17667;-14.18178;-47.57012;-0.15447;-0.02111;0.97453;1.75969;0.34372;0.04698;0.89211;2.70842;02/09/2025 10:35
_115;P4;0.23568;29.765;-14.18168;-47.57047;-0.76941;-0.09377;0.99887;1.20772;1.48663;0.18117;0.99402;1.32597;02/09/2025 10:45
_116;P5;0.42491;28.38389;-14.18161;-47.57077;-0.06462;-0.00859;0.68323;5.62941;1.63916;0.21777;0.98534;1.53587;02/09/2025 10:53
_117;P6;0.74689;27.23889;-14.18149;-47.57112;-0.0884;-0.01036;0.94066;2.34683;3.67377;0.43043;0.99666;1.26645;02/09/2025 11:00
_119;P7;0.95;25.37;-14.18145;-47.57139;0.1263;0.01601;0.92135;2.4034;2.77594;0.35188;0.99771;1.23944;02/09/2025 11:07
_120;P8;0.27742;26.625;-14.18196;-47.57127;-0.58046;-0.06695;0.99777;1.23714;3.14153;0.36235;0.99491;1.27123;02/09/2025 11:16
_121;P9;0.12433;28.1116;-14.18217;-47.57147;-1.16342;-0.15166;0.9993;1.19682;1.63486;0.21312;0.99544;1.29776;02/09/2025 11:23
_122;P10;0.39633;27.60278;-14.18261;-47.57161;-0.33776;-0.04421;0.99725;1.25174;1.75269;0.22943;0.9921;1.38088;02/09/2025 11:29
