area;point;Lat;Long;hand
seteq;P1;-14.13119;-47.72804;29.03125
seteq;P2;-14.13074;-47.72753;29.49902344
seteq;P3;-14.12993;-47.72691;29.37280273
seteq;P4;-14.12948;-47.72625;27.49267578
seteq;P5;-14.12901;-47.72552;24.04797363
seteq;P6;-14.12872;-47.72504;21.4564209
seteq;P7;-14.12858;-47.72484;19.73999023
seteq;P8;-14.12824;-47.72441;16.95812988
seteq;P9;-14.12771;-47.72365;11.50610352
seteq;P10;-14.12769;-47.72343;11.20776367
bbt;P10;-14.10383;-47.64837;11.57055664
bbt;P9;-14.1039;-47.64828;12.29333496
bbt;P8;-14.104;-47.64811;14.40466309
bbt;P7;-14.1042;-47.64791;17.23388672
bbt;P6;-14.10462;-47.64771;21.1640625
bbt;P5;-14.10477;-47.64753;24.25891113
bbt;P4;-14.10533;-47.64791;18.86669922
bbt;P3;-14.10608;-47.64637;33.31054688
cr;P10;-14.2728;-47.74233;30.34228516
cr;P9;-14.27295;-47.74237;31.95471191
cr;P8;-14.27316;-47.7424;33.93847656
cr;P7;-14.27336;-47.74238;35.54589844
cr;P6;-14.27355;-47.74242;36.4251709
cr;P5;-14.27379;-47.74245;37.86328125
cr;P4;-14.274;-47.74243;39.11627197
cr;P3;-14.27422;-47.74243;40.33660889
ing;P10;-14.13476;-47.76458;14.99023438
ing;P9;-14.1349;-47.7647;15.38928223
ing;P8;-14.13518;-47.76481;17.61901855
ing;P7;-14.13558;-47.76501;21.12927246
ing;P6;-14.1359;-47.76511;23.7833252
ing;P5;-14.13636;-47.76521;27.69580078
ing;P4;-14.13679;-47.7653;31.37561035
ing;P3;-14.13724;-47.76542;34.91052246
ing;P2;-14.13768;-47.76558;38.65759277
ing;P1;-14.13796;-47.76559;40.41967773
vvt;P1;-14.18212;-47.56929;27.58044434
vvt;P2;-14.18192;-47.5698;27.1015625
vvt;P3;-14.18179;-47.57012;26.71911621
vvt;P4;-14.1817;-47.57049;26.46252441
vvt;P5;-14.18157;-47.57077;24.8482666
vvt;P6;-14.18148;-47.57112;23.9666748
vvt;P7;-14.18145;-47.5714;23.71716309
vvt;P8;-14.18192;-47.5713;23.64038086
vvt;P9;-14.18216;-47.57149;22.9453125
vvt;P10;-14.18261;-47.57159;23.91357422
