locality_id;new_locality_id;elevation;lat_wgs84;lon_wgs84
95331371;VVT_p1;1209.7;-14.181944;-47.569167
95331372;VVT_p4;1221;-14.181389;-47.570278
95331373;VVT_p7;1212.2;-14.181389;-47.571389
95331374;VVT_p8;1212.3;-14.181986;-47.571272
95331375;VVT_p10;1209.1;-14.182644;-47.571608
95331376;BBT_p3;1250.4;-14.10606;-47.64636
95331377;BBT_p5;1231.9;-14.104772;-47.647515
95331378;BBT_p7;1227.9;-14.104186;-47.647902
95331379;BBT_p8;1224.9;-14.109996;-47.648114
95331380;BBT_p10;1226.8;-14.103821;-47.648374
95331381;ING_p2a;1094.9;-14.137713;-47.765569
95331382;ING_p4a;1095.4;-14.136816;-47.765256
95331383;ING_p6a;1085.2;-14.135906;-47.76508
95331384;ING_p8a;1074.6;-14.135184;-47.764981
95331385;ING_p10a;1076;-14.134806;-47.764565
95331386;7Q_p1;1199.9;-14.131192;-47.728017
95331387;7Q_p3;1197;-14.129955;-47.726895
95331388;7Q_p5;1193.6;-14.129012;-47.725511
95331389;7Q_p7;1191.1;-14.1285573;-47.724846
95331390;7Q_p10;1175.3;-14.127705;-47.723449
95331391;CR_p3;990.8;-14.274244;-47.742425
95331392;CR_p5;992.3;-14.273802;-47.742423
95331393;CR_p7;1002.4;-14.273392;-47.742352
95331394;CR_p9;993.6;-14.272964;-47.742361
95331395;CR_p10;990.7;-14.272785;-47.742294
96561930;ING_p2b;1094.9;-14.137713;-47.765569
96561929;ING_p4b;1095.4;-14.136816;-47.765256
96561928;ING_p6b;1085.2;-14.135906;-47.76508
96561927;ING_p8b;1074.6;-14.135184;-47.764981
96561926;ING_p10b;1076;-14.134806;-47.764565
95331396;ING_p2c;1094.9;-14.137713;-47.765569
