Mes,Area,Ponto,Peso umido,Tara,Peso_umido_final,Peso_seco,Tara,Peso_seco_final,%umidade,data
set,7q,10,243,2,241,169,5,164,"0,3195020747",10/09/2024
set,7q,4,749,2,747,741,5,736,"0,01472556894",10/09/2024
set,7q,8,554,2,552,544,5,539,"0,02355072464",10/09/2024
set,7q,1,281,2,279,283,5,278,"0,003584229391",10/09/2024
set,7q,5,327,2,325,304,5,299,"0,08",10/09/2024
set,7q,2,876,2,874,871,5,866,"0,009153318078",10/09/2024
set,7q,7,319,2,317,318,5,313,"0,01261829653",10/09/2024
set,7q,9,235,2,233,202,5,197,"0,1545064378",10/09/2024
set,7q,3,731,2,729,730,5,725,"0,00548696845",10/09/2024
set,7q,6,251,2,249,206,5,201,"0,1927710843",10/09/2024
set,bbt,6,403,2,401,399,5,394,"0,0174563591",06/09/24
set,bbt,3,375,2,373,375,5,370,"0,008042895442",06/09/24
set,bbt,5,393,2,391,392,5,387,"0,01023017903",06/09/24
set,bbt,10,260,2,258,144,5,139,"0,4612403101",06/09/24
set,bbt,7,320,2,318,318,5,313,"0,01572327044",06/09/24
set,bbt,4,350,2,348,341,5,336,"0,03448275862",06/09/24
set,bbt,9,405,2,403,314,5,309,"0,2332506203",06/09/24
set,bbt,8,400,2,398,387,5,382,"0,04020100503",06/09/24
set,cr,3,629,2,627,630,5,625,"0,003189792663",12/09/2024
set,cr,7,454,2,452,422,5,417,"0,07743362832",12/09/2024
set,cr,5,780,2,778,778,5,773,"0,006426735219",12/09/2024
set,cr,8,447,2,445,172,5,167,"0,6247191011",12/09/2024
set,cr,6,536,2,534,533,5,528,"0,01123595506",12/09/2024
set,cr,9,421,2,419,149,5,144,"0,6563245823",12/09/2024
set,cr,10,368,2,366,180,5,175,"0,5218579235",12/09/2024
set,cr,4,738,2,736,739,5,734,"0,002717391304",12/09/2024
set,ing,6,437,2,435,433,5,428,"0,01609195402",12/09/2024
set,ing,8,386,2,384,381,5,376,"0,02083333333",10/09/2024
set,ing,4,610,2,608,599,5,594,"0,02302631579",10/09/2024
set,ing,9,290,2,288,195,5,190,"0,3402777778",10/09/2024
set,ing,3,521,2,519,520,5,515,"0,007707129094",10/09/2024
set,ing,7,390,2,388,381,5,376,"0,03092783505",10/09/2024
set,ing,1,505,2,503,505,5,500,"0,005964214712",10/09/2024
set,ing,2,525,2,523,525,5,520,"0,005736137667",10/09/2024
set,ing,10,328,2,326,126,5,121,"0,6288343558",10/09/2024
set,ing,5,370,2,368,367,5,362,"0,01630434783",10/09/2024
set,vvt,9,532,2,530,502,5,497,"0,06226415094",11/09/2024
set,vvt,7,297,2,295,53,5,48,"0,8372881356",11/09/2024
set,vvt,4,575,2,573,453,5,448,"0,2181500873",11/09/2024
set,vvt,5,445,2,443,276,5,271,"0,388261851",11/09/2024
set,vvt,10,529,2,527,298,5,293,"0,4440227704",11/09/2024
set,vvt,1,832,2,830,825,5,820,"0,01204819277",11/09/2024
set,vvt,3,662,2,660,660,5,655,"0,007575757576",11/09/2024
set,vvt,6,321,2,319,103,5,98,"0,6927899687",11/09/2024
set,vvt,8,598,2,596,501,5,496,"0,1677852349",11/09/2024
set,vvt,2,560,2,558,450,5,445,"0,2025089606",11/09/2024
nov,7q,10,243,0,243,109,5,104,"0,5720164609",03/11/2024
nov,7q,4,206,0,206,162,5,157,"0,2378640777",03/11/2024
nov,7q,6,113,0,113,70,5,65,"0,4247787611",03/11/2024
nov,7q,8,144,0,144,110,5,105,"0,2708333333",03/11/2024
nov,7q,2,375,0,375,324,5,319,"0,1493333333",03/11/2024
nov,vvt,10,144,0,144,75,5,70,"0,5138888889",03/11/2024
nov,vvt,4,283,0,283,211,5,206,"0,2720848057",03/11/2024
nov,vvt,7,91,0,91,17,5,12,"0,8681318681",03/11/2024
nov,vvt,1,350,0,350,314,5,309,"0,1171428571",03/11/2024
nov,vvt,8,462,0,462,311,5,306,"0,3376623377",03/11/2024
nov,ing,6,215,0,215,160,5,155,"0,2790697674",03/11/2024
nov,ing,4,176,0,176,148,5,143,"0,1875",03/11/2024
nov,ing,2,125,0,125,104,5,99,"0,208",03/11/2024
nov,ing,8,165,0,165,120,5,115,"0,303030303",03/11/2024
nov,ing,10,129,0,129,37,5,32,"0,7519379845",03/11/2024
nov,bbt,5,224,0,224,200,5,195,"0,1294642857",03/11/2024
nov,bbt,10,150,0,150,75,5,70,"0,5333333333",03/11/2024
nov,bbt,3,223,0,223,196,5,191,"0,1434977578",03/11/2024
nov,bbt,8,180,0,180,135,5,130,"0,2777777778",03/11/2024
nov,bbt,7,287,0,287,234,5,229,"0,2020905923",03/11/2024
nov,cr,10,327,0,327,130,5,125,"0,6177370031",03/11/2024
nov,cr,8,172,0,172,86,5,81,"0,5290697674",03/11/2024
nov,cr,3,242,0,242,234,5,229,"0,05371900826",03/11/2024
nov,cr,5,209,0,209,202,5,197,"0,05741626794",03/11/2024
nov,cr,7,224,0,224,203,5,198,"0,1160714286",03/11/2024
dez,bbt,8,214,66,148,99,5,94,"0,3648648649",26/11/2024
dez,bbt,10,192,66,126,55,5,50,"0,6031746032",26/11/2024
dez,bbt,5,229,66,163,124,5,119,"0,2699386503",26/11/2024
dez,bbt,3,238,66,172,120,5,115,"0,3313953488",26/11/2024
dez,bbt,7,242,66,176,132,5,127,"0,2784090909",26/11/2024
dez,cr,5,239,66,173,135,5,130,"0,2485549133",24/11/2024
dez,cr,10,191,66,125,54,5,49,"0,608",24/11/2024
dez,cr,7,230,66,164,128,5,123,"0,25",24/11/2024
dez,cr,8,199,66,133,65,5,60,"0,5488721805",24/11/2024
dez,cr,3,216,66,150,137,5,132,"0,12",24/11/2024
dez,ing,2,188,66,122,97,5,92,"0,2459016393",25/11/2024
dez,ing,4,208,66,142,116,5,111,"0,2183098592",25/11/2024
dez,ing,6,214,66,148,105,5,100,"0,3243243243",25/11/2024
dez,ing,8,196,66,130,94,5,89,"0,3153846154",25/11/2024
dez,ing,10,176,66,110,29,5,24,"0,7818181818",25/11/2024
dez,7q,2,237,66,171,137,5,132,"0,2280701754",22/11/2024
dez,7q,10,169,66,103,34,5,29,"0,7184466019",22/11/2024
dez,7q,6,155,66,89,36,5,31,"0,6516853933",22/11/2024
dez,7q,8,201,66,135,80,5,75,"0,4444444444",22/11/2024
dez,7q,4,224,66,158,112,5,107,"0,3227848101",22/11/2024
dez,vvt,1,250,66,184,140,5,135,"0,2663043478",27/11/2024
dez,vvt,4,222,66,156,97,5,92,"0,4102564103",27/11/2024
dez,vvt,7,164,66,98,18,5,13,"0,8673469388",27/11/2024
dez,vvt,10,182,66,116,41,5,36,"0,6896551724",27/11/2024
dez,vvt,8,206,66,140,98,5,93,"0,3357142857",27/11/2024
fev,7q,10,273,2,271,72,5,67,"0,7527675277",01/02/2025
fev,7q,2,432,2,430,334,5,329,"0,2348837209",01/02/2025
fev,7q,9,347,2,345,79,5,74,"0,7855072464",01/02/2025
fev,7q,8,315,2,313,172,5,167,"0,4664536741",01/02/2025
fev,7q,4,354,2,352,240,5,235,"0,3323863636",01/02/2025
fev,7q,6,253,2,251,86,5,81,"0,6772908367",01/02/2025
fev,7q,1,394,2,392,302,5,297,"0,2423469388",01/02/2025
fev,7q,7,343,2,341,124,5,119,"0,651026393",01/02/2025
fev,7q,3,339,2,337,254,5,249,"0,2611275964",01/02/2025
fev,7q,5,316,2,314,102,5,97,"0,6910828025",01/02/2025
fev,bbt,6,418,2,416,284,5,279,"0,3293269231",04/02/2025
fev,bbt,8,253,2,251,163,5,158,"0,3705179283",04/02/2025
fev,bbt,3,484,2,482,344,5,339,"0,2966804979",04/02/2025
fev,bbt,4,349,2,347,231,5,226,"0,34870317",04/02/2025
fev,bbt,7,360,2,358,248,5,243,"0,3212290503",04/02/2025
fev,bbt,10,304,2,302,104,5,99,"0,6721854305",04/02/2025
fev,bbt,9,219,2,217,127,5,122,"0,4377880184",04/02/2025
fev,bbt,5,344,2,342,249,5,244,"0,2865497076",04/02/2025
