date;filename;fileSize;dataCount
2024.10.09 16:24:11;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_10_09_0.csv;49383;910
2024.10.09 16:26:41;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_10_09_1.csv;49383;910
2024.10.09 16:27:09;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_10_09_2.csv;49383;910
2024.10.09 16:37:09;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_10_09_3.csv;49439;911
2024.10.09 16:38:05;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_10_09_4.csv;161;3
2024.10.09 16:39:09;C:\Program Files (x86)\Lolly\DATA\data_95331395_2024_10_09_0.csv;49515;911
2024.10.09 16:39:45;C:\Program Files (x86)\Lolly\DATA\data_95331396_2024_10_09_0.csv;49412;911
2024.10.09 16:41:17;C:\Program Files (x86)\Lolly\DATA\data_95331390_2024_10_09_0.csv;49283;911
2024.10.09 16:41:36;C:\Program Files (x86)\Lolly\DATA\data_95331389_2024_10_09_0.csv;49292;912
2024.10.09 16:41:51;C:\Program Files (x86)\Lolly\DATA\data_95331388_2024_10_09_0.csv;49563;912
2024.10.09 16:42:07;C:\Program Files (x86)\Lolly\DATA\data_95331387_2024_10_09_0.csv;49463;912
2024.10.09 16:42:20;C:\Program Files (x86)\Lolly\DATA\data_95331386_2024_10_09_0.csv;49516;912
2024.10.09 16:42:56;C:\Program Files (x86)\Lolly\DATA\data_95331385_2024_10_09_0.csv;49490;912
2024.10.09 16:43:14;C:\Program Files (x86)\Lolly\DATA\data_95331384_2024_10_09_0.csv;49388;912
2024.10.09 16:43:27;C:\Program Files (x86)\Lolly\DATA\data_95331383_2024_10_09_0.csv;49435;912
2024.10.09 16:43:48;C:\Program Files (x86)\Lolly\DATA\data_95331382_2024_10_09_0.csv;49507;913
2024.10.09 16:44:01;C:\Program Files (x86)\Lolly\DATA\data_95331381_2024_10_09_0.csv;49533;913
2024.10.09 16:44:37;C:\Program Files (x86)\Lolly\DATA\data_95331381_2024_10_09_1.csv;49533;913
2024.10.09 16:45:08;C:\Program Files (x86)\Lolly\DATA\data_95331381_2024_10_09_2.csv;49595;914
2024.10.09 16:45:46;C:\Program Files (x86)\Lolly\DATA\data_95331371_2024_10_09_0.csv;49642;913
2024.10.09 16:46:04;C:\Program Files (x86)\Lolly\DATA\data_95331372_2024_10_09_0.csv;49564;913
2024.10.09 16:46:15;C:\Program Files (x86)\Lolly\DATA\data_95331373_2024_10_09_0.csv;49537;913
2024.10.09 16:46:29;C:\Program Files (x86)\Lolly\DATA\data_95331374_2024_10_09_0.csv;49402;913
2024.10.09 16:46:44;C:\Program Files (x86)\Lolly\DATA\data_95331375_2024_10_09_0.csv;49548;913
2024.10.09 16:47:13;C:\Program Files (x86)\Lolly\DATA\data_95331376_2024_10_09_0.csv;49468;913
2024.10.09 16:47:38;C:\Program Files (x86)\Lolly\DATA\data_95331377_2024_10_09_0.csv;49573;913
2024.10.09 16:48:06;C:\Program Files (x86)\Lolly\DATA\data_95331378_2024_10_09_0.csv;49527;913
2024.10.09 16:48:19;C:\Program Files (x86)\Lolly\DATA\data_95331379_2024_10_09_0.csv;49458;913
2024.10.09 16:48:42;C:\Program Files (x86)\Lolly\DATA\data_95331380_2024_10_09_0.csv;49575;913
2024.10.09 16:49:57;C:\Program Files (x86)\Lolly\DATA\data_95331391_2024_10_09_0.csv;49667;912
2024.10.09 16:50:08;C:\Program Files (x86)\Lolly\DATA\data_95331392_2024_10_09_0.csv;49693;912
2024.10.09 16:50:21;C:\Program Files (x86)\Lolly\DATA\data_95331393_2024_10_09_0.csv;49555;912
2024.10.31 16:56:48;C:\Program Files (x86)\Lolly\DATA\data_95331390_2024_10_31_0.csv;170627;3024
2024.10.31 17:05:46;C:\Program Files (x86)\Lolly\DATA\data_95331389_2024_10_31_0.csv;170767;3026
2024.10.31 17:10:45;C:\Program Files (x86)\Lolly\DATA\data_95331388_2024_10_31_0.csv;170703;3026
2024.10.31 17:18:51;C:\Program Files (x86)\Lolly\DATA\data_95331387_2024_10_31_0.csv;170955;3027
2024.10.31 17:27:47;C:\Program Files (x86)\Lolly\DATA\data_95331386_2024_10_31_0.csv;171272;3027
2024.11.01 10:21:39;C:\Program Files (x86)\Lolly\DATA\data_95331373_2024_11_01_0.csv;174935;3095
2024.11.01 10:28:51;C:\Program Files (x86)\Lolly\DATA\data_95331372_2024_11_01_0.csv;174906;3095
2024.11.01 10:35:49;C:\Program Files (x86)\Lolly\DATA\data_95331371_2024_11_01_0.csv;175003;3096
2024.11.01 10:46:55;C:\Program Files (x86)\Lolly\DATA\data_95331374_2024_11_01_0.csv;174811;3097
2024.11.01 10:54:51;C:\Program Files (x86)\Lolly\DATA\data_95331375_2024_11_01_0.csv;175123;3097
2024.11.01 13:53:24;C:\Program Files (x86)\Lolly\DATA\data_95331385_2024_11_01_0.csv;175908;3109
2024.11.01 13:59:05;C:\Program Files (x86)\Lolly\DATA\data_95331384_2024_11_01_0.csv;175476;3109
2024.11.01 14:04:53;C:\Program Files (x86)\Lolly\DATA\data_95331383_2024_11_01_0.csv;175542;3110
2024.11.01 14:11:46;C:\Program Files (x86)\Lolly\DATA\data_95331382_2024_11_01_0.csv;175963;3111
2024.11.01 14:29:00;C:\Program Files (x86)\Lolly\DATA\data_95331381_2024_11_01_0.csv;175724;3112
2024.11.01 17:05:12;C:\Program Files (x86)\Lolly\DATA\data_95331380_2024_11_01_0.csv;176439;3122
2024.11.01 17:16:32;C:\Program Files (x86)\Lolly\DATA\data_95331380_2024_11_01_1.csv;176500;3123
2024.11.01 17:19:13;C:\Program Files (x86)\Lolly\DATA\data_95331379_2024_11_01_0.csv;176498;3123
2024.11.01 17:25:46;C:\Program Files (x86)\Lolly\DATA\data_95331378_2024_11_01_0.csv;176100;3123
2024.11.01 17:33:20;C:\Program Files (x86)\Lolly\DATA\data_95331377_2024_11_01_0.csv;176812;3124
2024.11.01 17:39:18;C:\Program Files (x86)\Lolly\DATA\data_95331376_2024_11_01_0.csv;176499;3124
2024.11.02 10:42:23;C:\Program Files (x86)\Lolly\DATA\data_95331391_2024_11_02_0.csv;180732;3191
2024.11.02 10:46:44;C:\Program Files (x86)\Lolly\DATA\data_95331391_2024_11_02_1.csv;180792;3192
2024.11.02 10:49:30;C:\Program Files (x86)\Lolly\DATA\data_95331392_2024_11_02_0.csv;180595;3192
2024.11.02 10:54:27;C:\Program Files (x86)\Lolly\DATA\data_95331393_2024_11_02_0.csv;180596;3192
2024.11.02 10:58:51;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_11_02_0.csv;180702;3192
2024.11.02 11:04:03;C:\Program Files (x86)\Lolly\DATA\data_95331395_2024_11_02_0.csv;180659;3193
2024.11.23 13:54:03;C:\Program Files (x86)\Lolly\DATA\data_95331379_2024_11_23_0.csv;299074;5221
2024.11.23 14:04:17;C:\Program Files (x86)\Lolly\DATA\data_95331380_2024_11_23_0.csv;204;4
2024.11.23 14:05:03;C:\Program Files (x86)\Lolly\DATA\data_95331380_2024_11_23_1.csv;298763;5222
2024.11.23 14:13:57;C:\Program Files (x86)\Lolly\DATA\data_95331378_2024_11_23_0.csv;298837;5222
2024.11.23 14:20:54;C:\Program Files (x86)\Lolly\DATA\data_95331377_2024_11_23_0.csv;299393;5223
2024.11.23 14:30:57;C:\Program Files (x86)\Lolly\DATA\data_95331376_2024_11_23_0.csv;298981;5224
2024.11.24 11:21:46;C:\Program Files (x86)\Lolly\DATA\data_95331391_2024_11_24_0.csv;304360;5306
2024.11.24 11:29:54;C:\Program Files (x86)\Lolly\DATA\data_95331392_2024_11_24_0.csv;304346;5307
2024.11.24 11:32:52;C:\Program Files (x86)\Lolly\DATA\data_95331393_2024_11_24_0.csv;304151;5307
2024.11.24 11:36:43;C:\Program Files (x86)\Lolly\DATA\data_95331394_2024_11_24_0.csv;304236;5307
