"","area","point","transition_begin","transition_end","transition_duration","trans_total_lost"
"1","bbt","P10",2025-05-30,2025-09-30,124,1878.82413084677
"2","bbt","P3",2025-04-22,2025-09-04,136,1707.67712939548
"3","bbt","P5",2025-04-13,2025-08-24,134,1009.82208990188
"4","bbt","P7",2025-04-15,2025-09-02,141,1668.89128813136
"5","bbt","P8",2025-04-18,2025-09-15,151,1360.47112345172
"6","cr","P10",2025-07-03,2025-11-08,129,280.519778563931
"7","cr","P3",2025-02-13,2025-09-16,216,1873.64811089753
"8","cr","P5",2025-03-27,2025-10-17,205,1866.72409712032
"9","cr","P7",2025-02-16,2025-12-07,295,1484.68225576994
"10","cr","P9",2025-07-01,2025-12-07,160,398.412137844545
"11","ing","P10",2025-07-11,2025-11-05,118,1381.19302275738
"12","ing","P2",2025-02-06,2025-08-29,116,1787.05609907874
"13","ing","P4",2025-03-05,2025-09-02,120,1912.82928641844
"14","ing","P6",2025-03-05,2025-09-03,121,1853.56547297769
"15","ing","P8",2025-03-05,2025-09-01,119,2079.33251859583
"16","seteq","P1",2025-04-15,2025-09-02,141,1933.67493435214
"17","seteq","P10",2025-03-24,2025-09-19,180,1846.41275440231
"18","seteq","P3",2025-04-14,2025-09-19,159,1707.04054073434
"19","seteq","P5",2025-03-20,2025-10-23,218,1381.31311037101
"20","seteq","P7",2025-03-25,2025-10-04,194,1800.08314007984
"21","vvt","P1",2025-04-19,2025-09-14,149,1562.92520627605
"22","vvt","P10",2025-06-26,2025-11-01,129,1056.17237760148
"23","vvt","P4",2024-12-31,2025-10-10,284,1114.75689160429
"24","vvt","P7",2025-04-16,2025-09-22,160,316.128168625964
"25","vvt","P8",2025-05-12,2025-09-15,127,938.265668888171
