acum_1_mes;acum_2_meses;acum_3_meses;acum_4_meses;acum_semana;area;data;month;ponto;precip_dia
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P1;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P2;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P3;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P4;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P5;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P6;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P7;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P8;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P9;0
2.04;2.04;2.95;7.3;0;7q;10/09/2024;set/24;P10;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P10;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P9;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P8;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P7;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P6;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P5;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P4;0
1.9;1.9;2.88;7.45;0.09;bbt;06/09/2024;set/24;P3;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P10;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P9;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P8;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P7;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P6;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P5;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P4;0
1.47;1.47;2.5;6.22;0;cr;12/09/2024;set/24;P3;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P10;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P9;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P8;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P7;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P6;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P5;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P4;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P3;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P2;0
2.01;2.01;2.89;7.82;0;ing;10/09/2024;set/24;P1;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P1;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P2;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P3;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P4;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P5;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P6;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P7;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P8;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P9;0
1.81;1.81;2.83;7.08;0;vvt;11/09/2024;set/24;P10;0
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P1;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P2;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P3;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P4;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P5;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P6;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P7;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P8;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P9;14.4
248.77;349.3;352.79;352.79;60.46;7q;22/11/2024;nov/24;P10;14.4
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P10;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P9;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P8;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P7;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P6;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P5;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P4;0
236.32;364.9;367.53;368.33;56.31;bbt;26/11/2024;nov/24;P3;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P10;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P9;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P8;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P7;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P6;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P5;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P4;0
254.64;378.52;380.92;381.5;39.35;cr;24/11/2024;nov/24;P3;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P10;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P9;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P8;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P7;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P6;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P5;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P4;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P3;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P2;0
263.31;377.23;379.86;380.73;32.86;ing;25/11/2024;nov/24;P1;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P1;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P2;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P3;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P4;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P5;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P6;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P7;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P8;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P9;0
216.84;370.54;372.89;374.01;42.57;vvt;27/11/2024;nov/24;P10;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P1;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P2;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P3;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P4;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P5;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P6;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P7;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P8;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P9;0
263.27;466.34;706.45;858.68;40.82;7q;01/02/2025;fev/25;P10;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P10;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P9;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P8;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P7;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P6;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P5;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P4;0
250.42;451.56;693.56;870.02;63.26;bbt;04/02/2025;fev/25;P3;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P10;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P9;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P8;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P7;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P6;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P5;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P4;0
269.61;470.86;739.57;906.79;62.32;cr;05/02/2025;fev/25;P3;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P10;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P9;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P8;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P7;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P6;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P5;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P4;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P3;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P2;0
267.17;465.06;676.56;892.61;55.16;ing;06/02/2025;fev/25;P1;0
255.81;456.59;713.49;888.88;58.71;vvt;03/02/2025;fev/25;P1;7.81
255.81;456.59;713.49;888.88;58.71;vvt;03/02/2025;fev/25;P2;7.81
255.81;456.59;713.49;888.88;58.71;vvt;03/02/2025;fev/25;P3;7.81
255.81;456.59;713.49;888.88;58.71;vvt;03/02/2025;fev/25;P4;7.81
255.81;456.59;713.49;888.88;58.71;vvt;03/02/2025;fev/25;P5;7.81
