sand,silt,clay,den,classe2,ID,classe
93.4,4.5,2.1,2.26,4,VVT_p1,4
88.7,6.4,4.8,1.35,1,VVT_p4,1
86.6,11,2.4,0.34,2,VVT_p7,2
88.3,7.7,4,1.75,1,VVT_p8,1
69.9,19.2,10.9,1.11,3,VVT_p10,3
32,52.6,15.5,1.71,7,BBT_p3,7
22.1,57.4,20.5,1.58,7,BBT_p5,7
24.7,55.9,19.4,1.54,7,BBT_p7,7
14,62,24,1.71,7,BBT_p8,7
27.8,51.6,20.5,0.82,7,BBT_p10,7
59.7,16,24.3,1.53,6,ING_p2,6
69.2,13.2,17.6,1.83,6,ING_p4,6
63.9,13,23.1,1.87,6,ING_p6,6
66.5,17.4,16.1,1.14,5,ING_p8,3
61.5,24.5,14,0.36,8,ING_p10,5
75.3,20.8,3.8,2.2,4,7Q_p1,4
78.7,14.7,6.6,2.22,4,7Q_p3,4
67.3,21.2,11.5,1.04,3,7Q_p5,3
77.4,14.6,8,0.97,3,7Q_p7,3
68.8,18.4,12.8,0.29,8,7Q_p10,5
96.7,0.8,2.6,1.38,1,CR_p3,1
96.6,0.7,2.7,1.38,1,CR_p5,1
95.3,2.5,2.2,1.38,1,CR_p7,1
84.8,7,8.2,0.2,2,CR_p9,8
89.1,3.4,7.5,0.2,2,CR_p10,8
100,0,0,1.52,1,RefSand,1
71.9,24.9,3.2,0.52,2,RefLSA,2
66.5,28.2,5.3,0.97,3,RefLSB,3
61.2,33.7,5.1,1.32,4,RefSLA,4
56.8,35.7,7.6,1.07,5,RefSLB,5
47.4,28.5,24.1,1.55,6,RefLoam,6
21,66,12,1.29,7,RefSiltLoam,7
75.4,15.2,9.4,0.1,8,RefPeat,8
