ID;N_%;C_%;sand_%;silt_%;clay_%;soil_mass_g;volume_cm^3;density_gcm^-3;class
VVT_p1;0.0567;0.83;93.4;4.5;2.1;226;100;2.26;sand
VVT_p4;0.1125;2.02;88.7;6.4;4.8;135;100;1.35;sand
VVT_p7;1.2863;37.57;86.6;11;2.4;34;100;0.34;peat
VVT_p8;0.1122;2.04;88.3;7.7;4;175;100;1.75;sand
VVT_p10;0.3615;7.23;69.9;19.2;10.9;111;100;1.11;loamy_sand_A
BBT_p3;0.1747;3.11;32;52.6;15.5;171;100;1.71;silt_loam
BBT_p5;0.1928;3.06;22.1;57.4;20.5;158;100;1.58;silt_loam
BBT_p7;0.1904;2.95;24.7;55.9;19.4;154;100;1.54;silt_loam
BBT_p8;0.3144;5.49;14;62;24;171;100;1.71;silt_loam
BBT_p10;0.4847;9.8;27.8;51.6;20.5;82;100;0.82;silt_loam
ING_p2;0.1322;2.19;59.7;16;24.3;153;100;1.53;
ING_p4;0.1465;2.35;69.2;13.2;17.6;183;100;1.83;
ING_p6;0.1972;3.58;63.9;13;23.1;187;100;1.87;
ING_p8;0.3026;5.3;66.5;17.4;16.1;114;100;1.14;
ING_p10;1.537;30.59;61.5;24.5;14;36;100;0.36;
7Q_p1;0.0859;1.32;75.3;20.8;3.8;220;100;2.2;
7Q_p3;0.1378;2.01;78.7;14.7;6.6;222;100;2.22;
7Q_p5;0.6474;13.36;67.3;21.2;11.5;104;100;1.04;
7Q_p7;0.2954;5.4;77.4;14.6;8;97;100;0.97;
7Q_p10;1.4026;28.59;68.8;18.4;12.8;29;100;0.29;1.381
CR_p3;0.0318;0.5;96.7;0.8;2.6;;;1.38;
CR_p5;0.0472;0.92;96.6;0.7;2.7;;;1.38;
CR_p7;0.0689;1.39;95.3;2.5;2.2;;;1.38;
CR_p9;1.2622;30;84.8;7;8.2;;;0.2;
CR_p10;0.5725;11.93;89.1;3.4;7.5;;;0.2;
RefSand; ;;100;0;0;;;1.52;
RefLSA;;;71.9;24.9;3.2;;;0.52;
RefLSB;;;66.5;28.2;5.3;;;0.97;
RefSLA;;;61.2;33.7;5.1;;;1.32;
RefSLB;;;56.8;35.7;7.6;;;1.07;
RefLoam;;;47.4;28.5;24.1;;;1.55;
RefSiltLoam;;;21;66;12;;;1.29;
RefPeat;;;75.4;15.2;9.4;;;0.1;
