area;point;N;C;sand;silt;clay
seteq;P1;0.0859;1.32;753;208;38
seteq;P2;0.0821;1.15;769;199;32
seteq;P3;0.1378;2.01;787;147;66
seteq;P4;0.2252;4.01;742;136;122
seteq;P5;0.6474;13.36;673;212;115
seteq;P6;0.6839;15.34;728;169;103
seteq;P7;0.2954;5.4;774;146;80
seteq;P8;0.2998;5.5;728;181;91
seteq;P9;1.1391;23.79;651;208;142
seteq;P10;1.4026;28.59;688;184;128
ing;P1;0.1687;2.75;618;161;221
ing;P2;0.1322;2.19;597;160;243
ing;P3;0.1575;2.53;658;124;218
ing;P4;0.1465;2.35;692;132;176
ing;P5;0.2324;4.03;562;185;253
ing;P6;0.1972;3.58;639;130;231
ing;P7;0.4207;7.85;614;188;198
ing;P8;0.3026;5.3;665;174;161
ing;P9;1.0808;21.33;740;170;89
ing;P10;1.537;30.59;615;245;140
vvt;P1;0.0567;0.83;934;45;21
vvt;P2;0.1354;2.5;851;96;52
vvt;P3;0.0848;1.45;886;73;41
vvt;P4;0.1125;2.02;887;64;48
vvt;P5;0.2985;6.59;843;79;78
vvt;P6;0.7808;18.74;860;74;66
vvt;P7;1.2863;37.57;866;110;24
vvt;P8;0.1122;2.04;883;77;40
vvt;P9;0.0546;0.81;919;60;22
vvt;P10;0.3615;7.23;699;192;109
bbt;P3;0.1747;3.11;320;526;155
bbt;P4;0.2546;4.34;160;621;219
bbt;P5;0.1928;3.06;221;574;205
bbt;P6;0.1885;3.03;240;568;192
bbt;P7;0.1904;2.95;247;559;194
bbt;P8;0.3144;5.49;140;620;240
bbt;P9;0.4793;10.44;168;574;259
bbt;P10;0.4847;9.8;278;516;205
cr;P6;0.0436;0.71;958;6;36
cr;P3;0.0318;0.5;967;8;26
cr;P4;0.0336;0.65;966;4;30
cr;P5;0.0472;0.92;966;7;27
cr;P7;0.0689;1.39;953;25;22
cr;P8;0.6631;18.1;802;100;98
cr;P9;1.2622;30;848;70;82
cr;P10;0.5725;11.93;891;34;75
